date,close,volume
2026-03-11,2648.0,10605700
2026-03-12,2597.5,7338400
2026-03-13,2461.5,10947600
2026-03-16,2474.5,6784000
2026-03-17,2483.0,7985000
2026-03-18,2583.0,9492200
2026-03-19,2505.5,14330000
2026-03-23,2276.0,13020600
2026-03-24,2381.0,8813700
2026-03-25,2424.0,10076500
2026-03-26,2389.5,7960400
2026-03-27,2354.5,9497100
2026-03-30,2244.5,14274300
2026-03-31,2151.5,12199600
2026-04-01,2323.5,10184100
2026-04-02,2286.5,10667100
2026-04-03,2271.5,5968500
2026-04-06,2289.5,4374800
2026-04-07,2312.5,6105000
2026-04-08,2611.0,16806400
2026-04-09,2595.0,10659700
2026-04-10,2656.5,9182200
2026-04-13,2531.0,10348800
2026-04-14,2732.5,14149500
2026-04-15,2671.5,9776500
2026-04-16,2765.5,8246900
2026-04-17,2795.0,15007700
2026-04-20,2972.5,17624900
2026-04-21,3079.0,16565000
2026-04-22,3093.0,14210900
2026-04-23,3300.0,30747700
2026-04-24,3141.0,33685800
2026-04-27,3124.0,27511900
2026-04-28,2913.0,19974900
2026-04-30,3212.0,26404400
2026-05-01,3205.0,13729300
2026-05-07,3623.0,33631800
2026-05-08,3530.0,21702800
2026-05-11,3500.0,18399000
2026-05-12,3750.0,31623700
2026-05-13,3575.0,14465100
2026-05-14,3854.0,28673600
2026-05-15,3647.0,19071900
2026-05-18,3700.0,13901300
2026-05-19,3509.0,12947900
2026-05-20,3500.0,11620200
2026-05-21,3785.0,19001600
2026-05-22,4044.0,17949000
2026-05-25,4297.0,21782700
2026-05-26,4589.0,23059700
2026-05-27,4474.0,21999500
2026-05-28,4306.0,21537400
2026-05-29,4500.0,23491100
2026-06-01,4417.0,13621100
2026-06-02,4455.0,17662600
2026-06-03,4824.0,22562300
2026-06-04,4838.0,17895400
2026-06-05,4568.0,12870200
2026-06-08,4139.0,23199500
2026-06-09,4395.0,18519900
2026-06-10,4308.0,18059400
2026-06-11,4262.0,15459800
2026-06-12,4355.0,14713100
2026-06-15,4488.0,13043300
2026-06-16,4484.0,14590900
2026-06-17,4477.0,11507200
2026-06-18,4550.0,14040900
2026-06-19,4734.0,21289900
2026-06-22,5041.0,15953100
2026-06-23,4754.0,20794000
2026-06-24,4703.0,16565900
2026-06-25,4844.0,19719500
2026-06-26,4800.0,31839500
2026-06-29,4810.0,14200300
2026-06-30,4807.0,14499000
2026-07-01,5123.0,15321100
2026-07-02,4842.0,14915000
2026-07-03,4820.0,12933200
2026-07-06,4710.0,11492400
2026-07-07,4744.0,24567900
2026-07-08,4662.0,16968400
2026-07-09,4817.0,15820900
2026-07-10,4762.0,13112800
2026-07-13,4469.0,12573200
2026-07-14,4381.0,12785500
2026-07-15,4459.0,11294000
2026-07-16,4139.0,13442400
2026-07-17,3822.0,19272400
2026-07-21,4035.0,16862500
2026-07-22,4175.0,14565400
2026-07-23,4199.0,9858100
2026-07-24,3928.0,11628500
2026-07-27,3866.0,8638500
2026-07-28,3462.0,14086000
2026-07-29,3170.0,23553900
2026-07-30,3196.0,17803700
2026-07-31,3442.0,25693900
2026-08-03,3905.0,38300100
2026-08-04,3883.0,16481600
2026-08-05,3813.0,19950800
